TotalEmployed,Women,AfricanAmerican,Asian,HispanicLatino,none,label1,label2,label3,label4,label5
233,0,4.8,1.5,14.3,,mechanic,technician,,,
345,0.1,7.5,2.6,15.8,,mechanic,specialist,,,
54,0.2,12.1,0,49.2,,mason,finisher,worker,,
154,0.6,5.4,0.6,22.9,,repairer,,,,
172,0.7,5.3,0,43.3,,brickmason,blockmason,stonemason,,
573,0.7,6.8,1.1,25,,pipelayer,plumber,pipefitter,steamfitter,
119,1.2,5.2,1.7,11.1,,installer,repairer,,,
52,1.3,7,2.8,44.7,,helper,,,,
924,1.5,8.2,4,25.7,,technician,mechanic,,,
151,1.6,5.5,0.2,61.8,,installer,taper,,,
156,1.7,6.2,2.1,47.1,,installer,finisher,,,
408,1.7,7.6,2.2,21.6,,mechanic,installer,,,
1281,1.8,5.4,1.2,32.8,,carpenter,,,,
357,1.9,7.5,0.1,21.1,,engineer,operator,,,
81,1.9,4.5,1,24.4,,mechanic,installer,repairer,,
103,2,13.4,0.9,16.5,,worker,,,,
58,2.2,6.4,2.8,19.8,,worker,,,,
773,2.3,8.8,1.9,19.3,,electrician,,,,
221,2.3,6,1.4,51.2,,roofer,,,,
67,2.5,4.1,0,16.3,,operator,,,,
7652,2.7,6.9,1.3,33.3,,,,,,
51,2.8,10.4,0,11,,worker,,,,
1649,2.9,8.1,1.9,45.5,,laborer,,,,
54,3.1,0,1.3,10.4,,mechanic,,,,
527,3.2,11.2,2.4,21.9,,worker,,,,
712,3.3,6.2,1.2,16.7,,supervisor,,,,
57,3.3,5.6,0.5,8.4,,millwright,,,,
81,3.4,9.4,5.2,10.2,,engineer,operator,,,
76,3.4,9.1,0.2,10.3,,operator,,,,
5008,3.5,8.3,3.1,18.9,,,,,,
50,3.5,21.3,1.4,8.2,,engineer,operator,,,
425,3.6,6.6,1.5,13.6,,mechanic,,,,
64,3.8,3.1,0.5,26.8,,worker,,,,
74,3.8,6,1,23.1,,installer,,,,
53,3.8,3.7,6,26.8,,repairer,,,,
88,3.9,8.4,3.7,9.8,,programmer,operator,,,
615,4.2,7.1,3.3,23.1,,worker,,,,
89,4.4,7.1,1.5,6.5,,operator,,,,
122,4.5,2.4,0.7,15.7,,worker,,,,
85,4.7,13,1.3,14,,worker,,,,
13733,4.7,7.3,1.9,29,,,,,,
66,4.8,6.3,3.3,10.5,,repairer,,,,
3469,5.1,15.1,2.7,21.5,,worker,driver,,,
65,5.2,3.5,4.1,7.2,,technician,,,,
140,5.2,8.3,3.1,13.6,,technician,mechanic,,,
572,5.7,5.6,1.8,49.3,,painter,,,,
200,5.8,5.1,2.1,25.3,,worker,,,,
293,5.9,8.4,1.1,7.8,,firefighter,,,,
177,6,12.9,3.1,19.7,,installer,repairer,,,
262,6.1,8.5,3.3,11.4,,supervisor,,,,
1349,6.4,7.9,0.9,44.5,,worker,,,,
215,6.6,4,2,23.6,,supervisor,,,,
737,6.7,3.3,3.2,12.9,,manager,,,,
363,6.7,3.1,6.1,13.8,,machinist,,,,
589,7.1,21.6,2.3,25.9,,operator,,,,
110,7.4,6.3,7.6,9,,manager,,,,
52,7.7,18.6,1.7,2.1,,conductor,yardmaster,,,
60,7.9,4.3,1.2,20.5,,cabinetmaker,carpenter,,,
323,8.3,6.2,11.2,5.6,,engineer,,,,
158,8.5,11.7,8.2,11.8,,installer,repairer,,,
119,9.2,11.3,0.8,14.5,,technician,operator,,,
140,9.4,2.6,0.7,5.7,,pilot,engineer,,,
51,9.4,14.2,5.5,21.5,,operator,,,,
90,9.9,9.5,1,8.2,,inspector,,,,
91,10,32.1,5.3,26.5,,attendant,,,,
51,10.3,11.5,0.2,29,,operator,setter,tender,,
97,10.4,19.1,2.1,30.8,,collector,,,,
86,11,10.5,3.1,37.2,,worker,,,,
99,11,8.2,3.8,12.7,,attendant,,,,
338,11.1,12.3,1.4,39.4,,cleaner,,,,
138,11.3,2.1,18.6,13.1,,engineer,,,,
114,12.1,8.9,16.5,6.5,,architect,,,,
124,12.4,5,1.5,18.1,,salesperson,,,,
302,12.5,6,14.3,7.2,,engineer,,,,
360,12.6,3.6,10.2,9,,engineer,,,,
72,12.8,12.1,23.4,11,,engineer,,,,
110,12.8,14,1.3,6.6,,supervisor,,,,
151,12.9,14.2,5.2,23,,worker,,,,
63,13,4.3,0.4,10.6,,operator,setter,tender,,
241,13.2,18.4,8.2,9.8,,repairer,,,,
440,13.6,7.6,14.7,5.9,,engineer,,,,
688,13.6,13.5,2,15.5,,officer,,,,
235,14.3,20.4,4,18.6,,courier,messenger,,,
446,14.6,27,15.1,17,,driver,chauffeur,,,
84,14.7,2.8,16.3,6.5,,engineer,,,,
64,14.8,4.5,6,15.4,,editor,operator,,,
2954,15.1,6,11.4,8.2,,,,,,
9125,15.3,17.8,3.4,22.4,,,,,,
218,15.9,11.5,10.4,9.4,,administrator,,,,
76,16.1,21,10.5,32.9,,porter,bellhop,concierge,,
55,16.5,14.8,5.6,19.1,,announcer,,,,
64,16.7,13.4,2.6,24.2,,worker,,,,
1908,17.6,19,2.9,24.1,,laborer,mover,,,
112,17.8,0.4,3,8.1,,estimator,,,,
1353,17.9,5,33.8,5.4,,developer,,,,
205,18.1,15,1.6,20.6,,supervisor,,,,
280,18.3,5.1,4.3,6.7,,manager,,,,
817,18.6,8,4.6,16.3,,supervisor,,,,
415,19.6,15.2,16.8,19.3,,chef,cook,,,
70,19.7,3,3.4,5.2,,analyst,,,,
180,20,9,3.6,22.7,,operator,,,,
214,20.2,4.2,8.9,7.3,,engineer,,,,
403,20.3,10,10.7,9.7,,technician,,,,
469,20.6,10.2,6.6,7.3,,clergy,,,,
480,21,7,18.9,6.9,,programmer,,,,
263,21.1,8.2,3.4,19.2,,manager,,,,
133,21.2,3.7,1.1,15,,drafter,,,,
54,21.2,1.4,0,41.6,,supervisor,,,,
3109,21.3,19.2,2.4,13.9,,,,,,
281,21.3,14.7,5.1,39.7,,dishwasher,,,,
82,21.6,20.1,1.4,14.5,,operator,setter,tender,,
17647,21.8,15.3,4.7,22.3,,,,,,
789,21.9,3.5,1.1,50.7,,worker,,,,
869,22,28.8,4,18.6,,guard,officer,,,
116,22.1,40.7,6.4,20.7,,barber,,,,
376,22.5,17.6,6.3,22.6,,worker,,,,
81,23.2,14.7,2,10.5,,supervisor,,,,
443,23.8,26,1.2,11.8,,bailiff,officer,jailer,,
1052,23.9,0.9,0.6,4.3,,manager,,,,
1073,24.2,5.1,1.3,45.7,,,,,,
547,24.3,11.8,12,9.5,,,,,,
4369,24.7,8.6,19.9,6.8,,,,,,
944,25.5,14.4,4.9,24.9,,worker,,,,
203,25.7,5.8,7.6,5.7,,architect,,,,
302,25.7,22.4,8,35.4,,butcher,worker,,,
196,25.9,2.9,16.8,8.6,,dentist,,,,
258,26.2,4.8,5.8,7,,agent,,,,
475,26.4,12.5,9.6,8.4,,specialist,,,,
652,27.2,5.6,14.2,4.8,,manager,,,,
144,27.2,8.5,0.8,11.9,,detective,investigator,,,
92,27.5,1.3,6.2,7.3,,geoscientist,scientist,,,
899,27.6,6.9,4.7,10.8,,manager,,,,
1517,27.9,3.6,4.7,5.5,,executive,,,,
1281,27.9,4,3.3,10,,representative,,,,
1242,28.7,6.2,5.9,12.8,,supervisor,,,,
8522,28.8,12.5,6.2,22.3,,,,,,
75,29.5,3.2,3.2,8.7,,chiropractor,,,,
575,29.5,14.7,3.5,27,,clerk,,,,
52,31.4,24.7,2.7,6.3,,supervisor,,,,
220,32.9,10.6,1.2,8.3,,paramedic,technician,,,
552,34.2,9.6,19.6,6.9,,analyst,,,,
135,34.2,16.6,7.6,35.1,,worker,,,,
4315,34.3,7.2,5.4,10.1,,manager,,,,
204,34.3,9.1,9.6,6.2,,developer,,,,
2263,34.3,17.6,3.4,31.4,,janitor,cleaner,,,
1160,34.5,4.6,4.8,5.1,,lawyer,,,,
202,34.5,10.5,2.6,8.8,,musician,singer,worker,,
479,34.8,5.7,2.8,13.3,,representative,,,,
1529,35.8,18.2,4.5,20.2,,clerk,filler,,,
99,36.1,8.4,13.5,5.9,,chemist,scientist,,,
296,36.1,11.1,2.7,10.1,,athlete,coach,umpire,worker,
169,36.9,5.3,5.6,6.8,,producer,director,,,
752,37.3,12.5,6.9,17.7,,inspector,tester,sorter,weigher,sampler
498,37.9,7.6,7.4,9.4,,advisor,,,,
1007,37.9,6.4,18.4,6.4,,physician,surgeon,,,
93,38,6.2,9.6,2.1,,administrator,,,,
100,38.4,12.7,5,14.6,,detective,investigator,,,
1026,38.6,16.1,6.9,22.2,,assembler,fabricator,,,
58,39,11.8,6.2,6.4,,judge,magistrate,worker,,
221,39.2,12.8,2.1,15.7,,attendant,worker,,,
76,39.3,5.9,0.9,3.9,,appraiser,assessor,,,
848,39.7,9.3,10.1,5.9,,analyst,,,,
2091,39.9,18.5,5.3,35.7,,cook,,,,
82,40,11.7,7.5,9.7,,technician,,,,
293,40.6,19.7,2.4,20.5,,supervisor,worker,,,
117,40.9,14.4,4.2,20.2,,logistician,,,,
5716,41.1,14.5,2.9,38,,,,,,
320,41.2,20.3,6.8,13.1,,carrier,,,,
232,41.4,4.4,23.9,6.2,,scientist,,,,
86,42.6,6.6,10.8,8.2,,biologist,,,,
322,43,11.1,16.2,6.4,,analyst,,,,
1006,43.2,6.2,5.8,9.7,,manager,,,,
144,43.7,9.1,1.5,12.6,,lifeguard,worker,,,
3245,44,9.5,6.1,13,,supervisor,,,,
321,44.2,13.9,6.1,29.1,,attendant,helper,,,
198,44.8,11.4,7.2,12.9,,manager,,,,
130,46,33.5,8.7,6.3,,clerk,,,,
1341,46.5,5.1,12.6,7.6,,teacher,,,,
1404,46.6,6.1,14.5,7,,,,,,
168,46.6,4.8,5.1,8.7,,supervisor,,,,
68,46.7,6.5,1.7,13.7,,analyst,reporter,correspondent,,
236,46.8,6.5,3.9,10.6,,worker,,,,
69,46.8,13.5,5.3,13.7,,operator,,,,
1192,47.1,11.1,10.6,17,,manager,,,,
550,47.1,28,2.7,14.3,,driver,,,,
3051,47.6,6.3,5.2,10.8,,,,,,
195,47.7,9.9,3,7.2,,manager,,,,
110,48.6,7.8,13.4,19.1,,technician,,,,
246,49,11.4,4.2,9.5,,officer,,,,
15700,49.3,10.6,5.7,15,,,,,,
3346,49.4,12.8,6.3,17.3,,salesperson,,,,
1197,49.6,7.2,7.9,9.4,,manager,,,,
280,49.7,6.7,5.8,11.5,,agent,,,,
200,49.7,9.4,4.8,11.3,,agent,,,,
149,49.8,15.6,4.9,20.8,,worker,,,,
180,49.9,3.3,7.8,9.5,,photographer,,,,
250,49.9,20.4,7.5,36.7,,operator,tender,,,
64,50,29.9,8.1,9.4,,sorter,processor,operator,,
1803,50.2,6.8,4.5,7.5,,,,,,
123,50.7,15.3,10.2,9.3,,analyst,,,,
685,50.9,7.6,3.6,11.1,,manager,,,,
54,50.9,1.2,0,11.5,,trainer,,,,
109,50.9,12.2,2.9,18.8,,clerk,,,,
160,51,2,7.7,7.9,,editor,,,,
615,51.2,7.3,3.5,12.7,,agent,,,,
133,51.4,16.9,22,22.5,,assembler,,,,
505,51.9,19,5.6,37.5,,packer,packager,,,
89,52.2,8,22,8.2,,worker,,,,
190,52.7,6.3,7.5,11,,buyer,,,,
108,52.7,8.8,3.3,9,,practitioner,,,,
86,52.9,12.4,11.4,3.7,,statistician,,,,
159,53.5,7.2,10.9,16.8,,manager,,,,
67,53.6,0,5.5,6.6,,manager,,,,
203,53.9,7.7,12.5,6.6,,technician,,,,
7114,54.3,10.3,7.9,8.8,,,,,,
54,54.3,3.4,10.1,5.3,,guide,,,,
8142,54.5,13.8,6.1,25.3,,,,,,
332,54.6,14,6,10.6,,counselor,officer,,,
71,54.6,6.7,8.5,7.6,,specialist,,,,
157,54.9,5.9,35.1,5.4,,scientist,,,,
899,54.9,3.5,6.9,12.3,,designer,,,,
286,55,10.3,4.6,12,,clerk,,,,
321,55.3,14.6,3.1,10.4,,adjuster,appraiser,examiner,investigator,
99,55.4,23.3,4,12.1,,officer,specialist,,,
906,55.5,5.7,4.9,9.4,,broker,agent,,,
277,56.3,13.4,2.3,12.8,,dispatcher,,,,
213,56.7,9.2,7,9,,specialist,,,,
25896,56.7,16.8,5.4,23.5,,,,,,
222,56.9,2.7,4.1,9.4,,artist,worker,,,
282,57,8.7,15.3,5.4,,pharmacist,,,,
33852,57.2,9.8,8.7,8.8,,,,,,
527,57.4,14.9,3.8,16.5,,supervisor,,,,
78,57.8,7.5,1.1,5.1,,director,,,,
72,57.8,13.1,6.6,23.7,,weigher,measurer,sampler,,
68,58.2,9.2,1.2,6,,writer,,,,
107,58.6,8.9,5.8,5.3,,underwriter,,,,
261,58.8,4.8,6.9,9.7,,analyst,specialist,,,
73,59,2.3,5.2,6.2,,worker,,,,
858,59.1,15.1,5.6,27.4,,worker,,,,
61,59.2,10.6,5.2,5.6,,manager,,,,
1144,59.2,8.7,2.5,7.8,,teacher,,,,
208,59.4,4.9,3.5,5.3,,writer,author,,,
81,59.4,25.1,10.9,18.4,,clerk,operator,,,
156,59.5,18,10.7,18.7,,clerk,,,,
1732,59.7,9.5,11.3,7.4,,accountant,auditor,,,
57,59.8,33.2,3.1,17.3,,guard,,,,
451,59.8,4.4,3.3,13.2,,bartender,,,,
53,60.1,2.7,0,8.5,,archivist,curator,technician,,
52,60.4,8.4,4,13.3,,optician,,,,
90,60.5,3.4,4.7,2.5,,veterinarian,,,,
231,60.8,15.4,9.6,23.5,,baker,,,,
192,60.8,17.7,10.8,31.8,,worker,,,,
147,61.3,9.8,4.8,7.7,,specialist,,,,
111,61.3,16.4,6.4,18.6,,agent,clerk,,,
109,61.4,14.4,4.7,18.8,,preparer,,,,
33598,61.5,12.3,5.2,15.3,,,,,,
429,61.6,10.7,2.1,10.4,,worker,,,,
97,61.7,18.6,3.8,54.3,,grader,sorter,,,
118,62.1,13.7,2,7,,specialist,,,,
876,62.3,12.1,6.1,11.2,,teacher,instructor,,,
69,63.3,24.6,7.6,7,,clerk,,,,
420,63.4,21.6,3.7,17.3,,worker,,,,
60,64.3,25.9,2.2,27.3,,telemarketer,,,,
2271,65.1,16.6,4.7,18,,representative,,,,
2596,65.3,17.4,3.6,10.7,,,,,,
58,65.5,17,9.4,13.5,,examiner,collector,agent,,
84,65.6,14.5,4.4,16.6,,clerk,,,,
928,65.7,13.4,3.8,9.3,,administrator,,,,
233,66.7,10.7,6.2,18.2,,attendant,,,,
108,66.8,15.2,6,9.2,,therapist,,,,
156,67,10.5,2.5,21.7,,vendor,worker,,,
378,67.4,12.1,5.3,9.9,,manager,,,,
117,67.5,14.2,7.8,11.4,,technician,technologist,,,
68,67.7,5.6,6,10.8,,aide,assistant,,,
84,67.9,5.8,13.4,35.8,,worker,,,,
252,67.9,5.4,1.8,13,,caretaker,,,,
1474,68.3,11.7,4.7,13.1,,supervisor,,,,
168,68.3,20.6,3.9,18.4,,collector,,,,
170,69.6,25.1,4.1,8.5,,,,,,
2057,70.1,8.2,6.9,21.1,,waiter,waitress,,,
193,70.3,4.1,2.5,5.8,,psychologist,,,,
68,70.7,5.6,6.5,15.1,,model,demonstrator,promoter,,
117,70.8,14.2,5.2,16.5,,specialist,educator,worker,,
190,70.9,20.6,8.7,19.4,,server,,,,
185,71,11.9,16.2,8.9,,supervisor,,,,
802,71.4,18.4,2.5,9.5,,counselor,,,,
274,72.1,4.3,12.5,4.9,,therapist,,,,
17897,72.2,13.9,4.7,15.6,,,,,,
101,72.3,14.1,7,29.6,,batchmaker,,,,
3246,72.5,17.4,6.8,20.6,,cashier,,,,
74,72.6,3.7,7.1,6.5,,assistant,,,,
52,72.9,10.4,2.5,15.8,,authorizer,checker,clerk,,
68,73,14.1,6.9,8.4,,specialist,,,,
290,73.3,11.9,2.2,10.8,,manager,,,,
77,73.4,7.2,1.1,1.9,,fundraiser,,,,
8908,73.4,10.4,4.5,9.9,,,,,,
636,73.7,13.1,5.2,8,,manager,,,,
161,73.7,12.5,4.1,12,,worker,,,,
322,73.7,7.9,5.2,8.7,,technologist,technician,,,
662,74,15.4,4.9,10.7,,worker,,,,
281,74.3,13.8,7.7,15.1,,keyer,,,,
196,74.8,9.7,12.4,41.8,,operator,,,,
86,74.9,12,4.5,9.8,,attendant,,,,
8766,75.1,11.5,9.2,8.1,,,,,,
89,75.9,3.3,17.7,8.7,,agent,,,,
327,76.1,17.3,13.5,12.4,,technologist,technician,,,
172,76.4,10.9,4.1,10.8,,worker,,,,
5415,76.8,15.6,8.5,15.5,,,,,,
127,76.9,17.7,7.5,13.4,,clerk,,,,
287,77.1,17.7,5,7.7,,clerk,,,,
74,77.3,25.1,2.3,33.3,,interviewer,,,,
98,77.3,8,7.5,10.6,,assistant,,,,
477,77.4,12.9,3.9,13.8,,worker,,,,
189,77.9,4.8,9.1,9.1,,therapist,,,,
159,78.6,11.1,5.6,12.3,,planner,,,,
3152,80.7,10.8,2.5,8.5,,teacher,,,,
189,80.9,7.9,3.8,15.4,,therapist,,,,
626,81.5,14.2,7.5,13,,technologist,technician,,,
293,82.1,11.2,3.6,19.2,,host,hostess,,,
203,82.2,12.9,4.2,13.4,,clerk,,,,
83,82.2,5.3,17.1,22.2,,tailor,dressmaker,sewer,,
1288,82.3,13.4,6.7,18.6,,clerk,,,,
194,82.6,21.2,2.2,16,,assistant,,,,
59,82.9,18.9,3.5,7.1,,assistant,,,,
166,83,8.5,2.8,4.8,,librarian,,,,
151,83.2,16.1,3.7,18.3,,interviewer,,,,
139,83.5,12.8,4.1,16.5,,clerk,interviewer,,,
765,83.8,22,3,12.5,,worker,,,,
106,84.1,25.2,3.5,13.8,,phlebotomist,,,,
1251,85.1,24.2,8.1,17.9,,aide,,,,
324,85.3,7,56.5,8.5,,worker,,,,
400,85.4,10.3,3.9,13.4,,paralegal,assistant,,,
71,87,11.9,3.3,16.6,,clerk,,,,
357,87.3,8.4,6.4,20.7,,teller,,,,
330,87.5,9.5,2.3,7.5,,teacher,,,,
3514,87.6,27.1,5.7,16.5,,,,,,
116,88,7.2,8.6,6.5,,therapist,,,,
1510,89.3,16.1,4.4,48.9,,maid,cleaner,,,
138,89.3,7.3,4.8,15.5,,clerk,,,,
2973,89.4,12.2,8.7,6.6,,nurse,,,,
2032,89.4,37.7,5.6,14.8,,aide,,,,
200,89.6,12.1,3.6,8.4,,technician,,,,
1182,89.8,7.5,4.9,10.6,,clerk,,,,
670,90.1,28.5,5.7,13.9,,nurse,,,,
473,90.1,13,3.3,13.5,,clerk,,,,
1232,90.6,13.4,3.7,17.7,,receptionist,clerk,,,
524,90.7,13,5.6,27.5,,assistant,,,,
149,90.8,8.2,3.5,2.5,,nurse,practitioner,,,
960,91.4,13.8,3,18.7,,assistant,,,,
103,92.1,15,5,9.9,,typist,processor,,,
286,94.1,9.6,6.6,23.8,,assistant,,,,
707,94.2,12.3,3.9,15.3,,hairdresser,hairstyler,cosmetologist,,
2870,94.5,10.4,3.5,11.9,,secretary,assistant,,,
108,94.6,14.2,9.6,5.3,,dietitian,nutritionist,,,
1206,94.9,15.3,3.3,19.1,,worker,,,,
177,96.4,3.6,6.6,5.4,,hygienist,,,,
695,96.8,16.1,3.4,12.2,,teacher,,,,
158,98.6,4.9,2.9,7.1,,pathologist,,,,